project_id,total_paid,sanction_amount,max_progress,payment_count,overrun_ratio,payment_anomaly_score,payment_reason,data_source
WS/  MP620/2024-2025/133166-Construction of buildings for community cultural activities,447466.5,497185.0,40,2,0.9,50.0,Premature high disbursement (90%) for low reported progress (40%).,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133190-Construction of buildings for community cultural activities,450000.0,450000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133301-Construction of buildings for community cultural activities,398009.0,398009.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,399104.0,399104.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133304-Construction of buildings for community cultural activities,396154.0,396154.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133306-Construction of buildings for community cultural activities,495627.0,495627.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133307-Construction of buildings for community cultural activities,279268.5,398955.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133308-Construction of buildings for community cultural activities,279512.8,399304.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133309-Construction of buildings for community cultural activities,495031.0,495031.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133310-Construction of buildings for community cultural activities,173308.09999999998,247583.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133311-Construction of buildings for community cultural activities,250000.0,250000.0,100,3,1.0,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/  MP620/2024-2025/133312-Construction of buildings for community cultural activities,348663.69999999995,498091.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
WS/  MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,350000.0,500000.0,100,2,0.7,10.0,Standard payment milestone disbursement sequence.,DEMO / SIMULATED DATA
