work_id,work_status,reported_progress_pct,visual_progress_pct,visual_consistency_score,visual_mismatch_score,image_evidence_status,data_source
WS/  MP620/2024-2025/133166-Construction of buildings for community cultural activities,Physical Inspection,25,21,85.0,15.0,VISUAL VERIFIED — Site photograph evidence aligns with reported physical progress.,DEMO / SIMULATED EVIDENCE
WS/  MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,Sanction,10,8,85.0,15.0,VISUAL VERIFIED — Site photograph evidence aligns with reported physical progress.,DEMO / SIMULATED EVIDENCE
WS/  MP620/2024-2025/133190-Construction of buildings for community cultural activities,Sanction,10,8,85.0,15.0,VISUAL VERIFIED — Site photograph evidence aligns with reported physical progress.,DEMO / SIMULATED EVIDENCE
WS/  MP620/2025-2026/133191-Construction of buildings for community cultural activities,Work partially Completed,60,20,15.0,85.0,VISUAL REVIEW RECOMMENDED — Severe discrepancy between reported progress and site photograph evidence.,DEMO / SIMULATED EVIDENCE
WS/  MP620/2024-2025/133301-Construction of buildings for community cultural activities,Physical Inspection,25,18,85.0,15.0,VISUAL VERIFIED — Site photograph evidence aligns with reported physical progress.,DEMO / SIMULATED EVIDENCE
WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,Physical Inspection,25,21,85.0,15.0,VISUAL VERIFIED — Site photograph evidence aligns with reported physical progress.,DEMO / SIMULATED EVIDENCE
WS/  MP620/2024-2025/133304-Construction of buildings for community cultural activities,Physical Inspection,25,24,85.0,15.0,VISUAL VERIFIED — Site photograph evidence aligns with reported physical progress.,DEMO / SIMULATED EVIDENCE
WS/  MP620/2025-2026/133305-Construction of buildings for community cultural activities,Sanction,10,6,85.0,15.0,VISUAL VERIFIED — Site photograph evidence aligns with reported physical progress.,DEMO / SIMULATED EVIDENCE
WS/  MP620/2024-2025/133306-Construction of buildings for community cultural activities,Physical Inspection,25,25,85.0,15.0,VISUAL VERIFIED — Site photograph evidence aligns with reported physical progress.,DEMO / SIMULATED EVIDENCE
WS/  MP620/2024-2025/133307-Construction of buildings for community cultural activities,Physical Inspection,25,17,85.0,15.0,VISUAL VERIFIED — Site photograph evidence aligns with reported physical progress.,DEMO / SIMULATED EVIDENCE
WS/  MP620/2024-2025/133308-Construction of buildings for community cultural activities,Physical Inspection,25,22,85.0,15.0,VISUAL VERIFIED — Site photograph evidence aligns with reported physical progress.,DEMO / SIMULATED EVIDENCE
